_id,name,price,author,genre,release_year,publisher,link,number_of_reviews
6407ae3f77202a63bde23919,['Рубиновый лес '],711,Анастасия Гор,Русское фэнтези, 2023 ,Эксмо,https://book24.ru/product/rubinovyy-les-6675521/,14
6407ae3f77202a63bde2391a,['Игра в обороне '],202,Кендалл Райан,Зарубежные любовные романы, 2022 ,АСТ,https://book24.ru/product/igra-v-oborone-6156196/,10
6407ae3f77202a63bde2391b,['Боги и чудовища '],819,Шелби Махёрин,Зарубежное фэнтези, 2023 ,АСТ,https://book24.ru/product/bogi-i-chudovishcha-6648520/,15
6407ae3f77202a63bde2391c,['Нарко. Коготь ягуара '],88,Джефф Мариотт,Зарубежные детективы, 18+ ,Эксмо,https://book24.ru/product/narko-kogot-yaguara-5443475/,7
6407ae3f77202a63bde2391d,['Полночный тигр '],91,Свати Тирдхала,Зарубежное фэнтези, 16+ ,Эксмо,https://book24.ru/product/polnochnyy-tigr-5797227/,14
6407ae3f77202a63bde2391e,['Мара и Морок '],518,Лия Арден,Любовное фэнтези, 2023 ,Эксмо,https://book24.ru/product/mara-i-morok-6596563/,17
6407ae3f77202a63bde2391f,['Отель с привидениями '],231,Уилки Коллинз,Зарубежные детективы, 2023 ,АСТ,https://book24.ru/product/otel-s-privideniyami-5916825/,24
6407ae4077202a63bde23920,['Давай надеяться на лучшее '],102,Каролина Сеттерваль,Современная зарубежная проза, 16+ ,Эксмо,https://book24.ru/product/davay-nadeyatsya-na-luchshee-5393902/,6
6407ae4077202a63bde23921,['Потерянные боги '],962,Джеральд Бром,Зарубежное фэнтези, 2023 ,АСТ,https://book24.ru/product/poteryannye-bogi-1711020/,73
6407ae4077202a63bde23922,['В Каракасе наступит ночь '],80,Карина Сайнс Борго,Современная зарубежная проза, 16+ ,Эксмо,https://book24.ru/product/v-karakase-nastupit-noch-5477775/,10
6407ae4077202a63bde23923,['Стать Джоанной Морриган '],93,Кейтлин Моран,Современная зарубежная проза, 18+ ,Эксмо,https://book24.ru/product/stat-dzhoannoy-morrigan-5393561/,5
6407ae4077202a63bde23924,['Мертвые не лгут '],77,Литвиновы Анна и Сергей,Современные детективы, 2018 ,Эксмо,https://book24.ru/product/mertvye-ne-lgut-3333958/,6
6407ae4077202a63bde23925,"['К себе нежно. Книга о том, как ценить и беречь себя ']",787,Ольга Примаченко,Популярная психология, 2023 ,БОМБОРА,https://book24.ru/product/k-sebe-nezhno-kniga-o-tom-kak-tsenit-i-berech-sebya-5844090/,60
6407ae4077202a63bde23926,['Продажное королевство '],618,Ли Бардуго,Зарубежное фэнтези, 2023 ,АСТ,https://book24.ru/product/prodazhnoe-korolevstvo-2452092/,139
6407ae4077202a63bde23927,['Стигмалион '],560,Кристина Старк,Современная русская проза, 2023 ,АСТ,https://book24.ru/product/stigmalion-1838445/,124
6407ae4077202a63bde23928,['У Купидона картонные крылья '],84,Рафаэлла Джордано,Психология личности, 2019 ,БОМБОРА,https://book24.ru/product/u-kupidona-kartonnye-krylya-5293403/,10
6407ae4077202a63bde23929,['Я проснулась лисицей '],88,Катя Кэш,Эксмо, 18+ ,Редакция 1,https://book24.ru/product/ya-prosnulas-lisitsey-5622388/,11
6407ae4177202a63bde2392a,['Кровавое приданое '],602,С. Т. Гибсон,Книги про вампиров, 2023 ,Эксмо,https://book24.ru/product/krovavoe-pridanoe-6673179/,1
6407ae4177202a63bde2392b,['Неночь '],752,Джей Кристофф,Зарубежное фэнтези, 2023 ,АСТ,https://book24.ru/product/nenoch-3325236/,86
6407ae4177202a63bde2392c,['Ваше дело. Бизнес от миссии до вершины '],123,Олег Торсунов,Предпринимательство, 2019 ,Эксмо,https://book24.ru/product/vashe-delo-biznes-ot-missii-do-vershiny-5242477/,6
6407ae4177202a63bde2392d,['Хрупкое равновесие. Книга 1 '],545,Ана Шерри,Русская сентиментальная проза, 2023 ,Эксмо,https://book24.ru/product/khrupkoe-ravnovesie-kniga-1-5481209/,74
6407ae4177202a63bde2392e,['Сердце дракона. Воля камня '],108,Кирилл Клеванский,Русское фэнтези, 2020 ,Эксмо,https://book24.ru/product/serdtse-drakona-volya-kamnya-5470272/,12
6407ae4177202a63bde2392f,['Маленькие женщины '],202,Луиза Мэй Олкотт,Классическая зарубежная литература, 12+ ,АСТ,https://book24.ru/product/malenkie-zhenshchiny-5424251/,99
6407ae4177202a63bde23930,['1984. Скотный двор '],213,Джордж Оруэлл,Классическая зарубежная литература, 2022 ,Эксмо,https://book24.ru/product/1984-skotnyy-dvor-5967343/,11
6407ae4277202a63bde23931,['Ковен озера Шамплейн. Трилогия '],2,Анастасия Гор,Русское фэнтези, 2022 ,Эксмо,https://book24.ru/product/koven-ozera-shampleyn-trilogiya-6662874/,11
6407ae4277202a63bde23932,['Лунный свет '],245,Дженнифер Арментроут,Зарубежные любовные романы, 2023 ,АСТ,https://book24.ru/product/lunnyy-svet-6679770/,4
6407ae4277202a63bde23933,['Вторая вершина. Величайшая книга размышлений о мудрости и цели жизни '],165,Дэвид Брукс,Популярная психология, 2021 ,БОМБОРА,https://book24.ru/product/vtoraya-vershina-velichayshaya-kniga-razmyshleniy-o-mudrosti-i-tseli-zhizni-5927109/,6
6407ae4277202a63bde23934,['Мужчины как они есть '],109,Тайрииз Гибсон,Психология. М & Ж, 16+ ,Популярная психология,https://book24.ru/product/muzhchiny-kak-oni-est-1818064/,8
6407ae4377202a63bde23935,['Крах и восход '],535,Ли Бардуго,Зарубежное фэнтези, 2022 ,АСТ,https://book24.ru/product/krakh-i-voskhod-3015578/,92
